,word,pronunciation,common tag,jlpt tag,meanings_wrapper,details_href,verb_tag
0,学校,がっこう,Common word,JLPT N5,"{'Noun': 'school', 'Place': 'Gakkou', 'Wikipedia definition': 'School', 'Other forms': '學校 【がっこう】', 'Notes': '學校: Out-dated kanji.'}",https://jisho.org/word/学校,Not Verb
1,川,かわ,Common word,JLPT N5,"{'Noun': 'river; stream', 'Suffix': 'River; the ... river', 'Place': 'Gawa', 'Wikipedia definition': 'River', 'Other forms': '川 【がわ】、河 【かわ】、河 【がわ】'}",https://jisho.org/word/川,Not Verb
2,手,て,Common word,JLPT N5,"{'Noun': 'hand; arm', 'Noun, Noun - used as a suffix, Counter': 'forepaw; foreleg', 'Place': 'handle', 'Wikipedia definition': 'hand; worker; help'}",https://jisho.org/word/手,Not Verb
3,戸,と,Common word,JLPT N5,"{'Noun': 'door (esp. Japanese-style)', 'Place': 'shutter; window shutter', 'Wikipedia definition': 'entrance (to a home)', 'Other forms': 'narrows'}",https://jisho.org/word/戸,Not Verb
4,眼鏡,めがね,Common word,JLPT N5,"{'Noun': 'glasses; eyeglasses; spectacles', 'Place': 'judgment; judgement; discrimination; discernment; insight', 'Wikipedia definition': 'Megane', 'Other forms': 'Glasses'}",https://jisho.org/word/眼鏡,Not Verb
5,煙草,たばこ,Common word,JLPT N5,"{'Noun': 'tobacco; cigarette; cigaret; cigar', 'Place': 'tobacco plant (Nicotiana tabacum)', 'Wikipedia definition': 'Tabaco', 'Other forms': 'Tobacco', 'Notes': '莨 【たばこ】、烟草 【たばこ】、煙草 【えんそう】、煙草 【けぶりぐさ】、煙草 【けむりぐさ】、烟草 【えんそう】、烟草 【けぶりぐさ】、烟草 【けむりぐさ】、タバコ'}",https://jisho.org/word/煙草,Not Verb
6,赤,あか,Common word,JLPT N5,"{'Noun': 'Red (i.e. communist)', 'No-adjective': 'red-containing colour (e.g. brown, pink, orange)', 'Place': 'red light (traffic)', 'Wikipedia definition': 'red ink (i.e. in finance or proof-reading); (in) the red', 'Other forms': 'complete; total; perfect; obvious', 'Notes': 'copper'}",https://jisho.org/word/赤,Not Verb
7,仕事,しごと,Common word,JLPT N5,"{'Noun, Suru verb, No-adjective': 'work; job; business; occupation; employment; vocation; task', 'Wikipedia definition': 'work'}",https://jisho.org/word/仕事,suru
8,英語,えいご,Common word,JLPT N5,"{'Noun, No-adjective': 'English (language)', 'Wikipedia definition': 'English language'}",https://jisho.org/word/英語,Not Verb
9,問題,もんだい,Common word,JLPT N5,"{'Noun': 'question (e.g. on a test); problem', 'Wikipedia definition': 'problem (e.g. societal, political); question; issue; subject (e.g. of research); case; matter'}",https://jisho.org/word/問題,Not Verb
